A_AF_01_sila;pomik;;A_AF_02_sila;pomik;;A_AF_03_sila;pomik
3,267789;4,41;;3,24863;4,28;;3,345492;4,785
3,284869;4,425;;3,25753;4,285;;3,359448;4,795
3,284471;4,44;;3,254757;4,29;;3,367245;4,81
3,302087;4,45;;3,266982;4,3;;3,373265;4,82
3,30509;4,46;;3,275621;4,31;;3,376375;4,835
3,318065;4,475;;3,282607;4,32;;3,404669;4,86
3,334624;4,495;;3,282852;4,33;;3,415376;4,89
3,345868;4,515;;3,301387;4,34;;3,439902;4,91
3,360406;4,53;;3,309338;4,36;;3,449537;4,935
3,369689;4,545;;3,329513;4,38;;3,470937;4,96
3,380611;4,56;;3,341017;4,4;;3,48333;4,98
3,388761;4,575;;3,363765;4,425;;3,499446;5
3,397339;4,59;;3,374259;4,445;;3,51213;5,025
3,408537;4,605;;3,394893;4,465;;3,519146;5,045
3,418525;4,62;;3,412586;4,49;;3,536287;5,065
3,433185;4,64;;3,434998;4,515;;3,552816;5,085
3,444598;4,655;;3,447099;4,545;;3,56429;5,105
3,448504;4,67;;3,481521;4,58;;3,576499;5,12
3,464864;4,69;;3,501435;4,615;;3,587804;5,14
3,480183;4,705;;3,518822;4,645;;3,597501;5,155
